pid,category,korean,english_common,scientific
P728,조경수 Tree,오리나무,Japanese Alder,Alnus japonica
P729,조경수 Tree,자귀나무,Silk Tree,Albizia julibrissin
P730,조경수 Tree,주엽나무,Honey Locust,Gleditsia japonica
P731,조경수 Tree,칠자화,Seven Son Flower,Heptacodium miconioides
P732,조경수 Tree,함박나무 백합,Yulan,Magnolia sieboldii
P733,조경수 Tree,별목련,Star Magnolia,Magnolia stellata
P734,조경수 Tree,일본목련,Japanese Bigleaf Magnolia,Magnolia obovata
P735,조경수 Tree,다릅나무,Amur Maackia,Maackia amurensis
P736,조경수 Tree,황벽나무,Amur Cork Tree,Phellodendron amurense
P737,조경수 Tree,고광나무 산조팝,Sawtooth Spirea,Spiraea salicifolia
P738,조경수 Tree,때죽동백 노각,Tall Stewartia,Stewartia monadelpha
P739,조경수 Tree,버즘나무,American Sycamore,Platanus occidentalis
P740,조경수 Tree,양버들,Lombardy Poplar,Populus nigra Italica
P741,조경수 Tree,이태리포플러,Hybrid Poplar,Populus euramericana
P742,조경수 Tree,중국굴피나무,Chinese Wingnut,Pterocarya stenoptera
P743,조경수 Tree,가래나무,Manchurian Walnut,Juglans mandshurica
P744,조경수 Tree,헛개나무,Japanese Raisin Tree,Hovenia dulcis
P745,조경수 Tree,두충나무,Hardy Rubber Tree,Eucommia ulmoides
P746,조경수 Tree,벽오동,Chinese Parasol Tree,Firmiana simplex
P747,조경수 Tree,감태나무,Gray Blue Spicebush,Lindera glauca
P748,조경수 Tree,비목나무,Faber Spicebush,Lindera erythrocarpa
P749,조경수 Tree,쉬나무,Bee Bee Tree,Tetradium daniellii
P750,조경수 Tree,멀구슬나무,Chinaberry,Melia azedarach
P751,조경수 Tree,참죽나무,Chinese Toon,Toona sinensis
P752,침엽수 Conifer,에메랄드그린,Emerald Green Arborvitae,Thuja occidentalis Smaragd
P753,침엽수 Conifer,소나무,Korean Red Pine,Pinus densiflora
P754,침엽수 Conifer,반송,Tanyosho Pine,Pinus densiflora Umbraculifera
P755,침엽수 Conifer,백송,Lacebark Pine,Pinus bungeana
P756,침엽수 Conifer,잣나무,Korean Pine Nut,Pinus koraiensis
P757,침엽수 Conifer,리기다소나무,Pitch Pine,Pinus rigida
P758,침엽수 Conifer,곰솔,Black Pine,Pinus thunbergii
P759,침엽수 Conifer,전나무,Needle Fir,Abies holophylla
P760,침엽수 Conifer,구상나무,Korean Fir,Abies koreana
P761,침엽수 Conifer,분비나무,Manchurian Fir,Abies nephrolepis
P762,침엽수 Conifer,가문비나무,Yeddo Spruce,Picea jezoensis
P763,침엽수 Conifer,주목,Japanese Yew,Taxus cuspidata
P764,침엽수 Conifer,측백나무,Oriental Arborvitae,Platycladus orientalis
P765,침엽수 Conifer,편백나무,Hinoki Cypress,Chamaecyparis obtusa
P766,침엽수 Conifer,화백나무,Sawara Cypress,Chamaecyparis pisifera
P767,침엽수 Conifer,향나무,Chinese Juniper,Juniperus chinensis
P768,침엽수 Conifer,가이즈카향나무,Hollywood Juniper,Juniperus chinensis Kaizuka
P769,침엽수 Conifer,노간주나무,Temple Juniper,Juniperus rigida
P770,침엽수 Conifer,낙엽송,Japanese Larch,Larix kaempferi
P771,침엽수 Conifer,금송,Umbrella Pine,Sciadopitys verticillata
P772,침엽수 Conifer,삼나무,Japanese Cedar,Cryptomeria japonica
P773,침엽수 Conifer,히말라야시다,Deodar Cedar,Cedrus deodara
P774,침엽수 Conifer,독일가문비,Norway Spruce,Picea abies
P775,침엽수 Conifer,연필향나무,Eastern Red Cedar,Juniperus virginiana
P776,침엽수 Conifer,블루엔젤,Blue Angel Juniper,Juniperus Blue Angel
P777,침엽수 Conifer,섬잣나무,Japanese White Pine,Pinus parviflora
P778,침엽수 Conifer,스트로브잣나무,Eastern White Pine,Pinus strobus
P779,침엽수 Conifer,방크스소나무,Jack Pine,Pinus banksiana
P780,침엽수 Conifer,오스트리안소나무,Austrian Pine,Pinus nigra
P781,침엽수 Conifer,스코틀랜드소나무,Scots Pine,Pinus sylvestris
P782,침엽수 Conifer,솔송나무,Southern Japanese Hemlock,Tsuga sieboldii
P783,침엽수 Conifer,개비자나무,Japanese Plum Yew,Cephalotaxus harringtonii
P784,침엽수 Conifer,비자나무,Japanese Nutmeg Yew,Torreya nucifera
P785,침엽수 Conifer,금강소나무,Golden Larch,Pseudolarix amabilis
P786,침엽수 Conifer,낙우송,Bald Cypress,Taxodium distichum
P787,침엽수 Conifer,미국측백,Northern White Cedar,Thuja occidentalis
P788,침엽수 Conifer,레일란디측백,Leyland Cypress,Cupressus leylandii
P789,침엽수 Conifer,애리조나측백,Arizona Cypress,Cupressus arizonica
P790,침엽수 Conifer,코니카가문비,Dwarf Alberta Spruce,Picea glauca Conica
P791,침엽수 Conifer,블루스프루스,Colorado Blue Spruce,Picea pungens
P792,침엽수 Conifer,분비 발삼전나무,Balsam Fir,Abies balsamea
P793,침엽수 Conifer,일본전나무,Momi Fir,Abies firma
P794,침엽수 Conifer,히말라야소나무,Bhutan Pine,Pinus wallichiana
P795,침엽수 Conifer,눈향나무,Creeping Juniper,Juniperus procumbens
P796,침엽수 Conifer,울릉솔송,Ulleung Hemlock,Tsuga ulleungensis
P797,침엽수 Conifer,풍겐스가문비,Serbian Spruce,Picea omorika
P798,덩굴 Vine,등나무,Japanese Wisteria,Wisteria floribunda
P799,덩굴 Vine,인동덩굴,Japanese Honeysuckle,Lonicera japonica
P800,덩굴 Vine,담쟁이덩굴,Boston Ivy,Parthenocissus tricuspidata
P801,덩굴 Vine,으름덩굴,Chocolate Vine,Akebia quinata
P802,덩굴 Vine,머루,Wild Grape,Vitis amurensis
P803,덩굴 Vine,다래,Hardy Kiwi,Actinidia arguta
P804,덩굴 Vine,마삭줄,Star Jasmine,Trachelospermum asiaticum
P805,덩굴 Vine,줄사철나무,Fortune's Spindle,Euonymus fortunei
P806,덩굴 Vine,송악,Korean Ivy,Hedera rhombea
P807,덩굴 Vine,오미자,Magnolia Vine,Schisandra chinensis
P808,덩굴 Vine,모람,Creeping Fig,Ficus pumila
P809,덩굴 Vine,헤데라 헬릭스,Common Ivy,Hedera helix
P810,대나무 Bamboo,황금죽,Golden Bamboo,Phyllostachys aurea
P811,대나무 Bamboo,왕대,Giant Timber Bamboo,Phyllostachys bambusoides
P812,대나무 Bamboo,맹종죽,Moso Bamboo,Phyllostachys edulis
P813,대나무 Bamboo,오죽,Black Bamboo,Phyllostachys nigra
P814,대나무 Bamboo,조릿대,Broadleaf Bamboo,Sasa borealis
P815,대나무 Bamboo,이대,Female Bamboo,Pseudosasa japonica
P816,대나무 Bamboo,사사조릿대,Dwarf Bamboo,Pleioblastus fortunei
P817,대나무 Bamboo,신이대,Sea Bamboo,Sasa coreana
P818,그라스 Grass,수크령,Fountain Grass,Pennisetum alopecuroides
P819,그라스 Grass,억새,Silver Grass,Miscanthus sinensis
P820,그라스 Grass,핑크뮬리,Pink Muhly Grass,Muhlenbergia capillaris
P821,그라스 Grass,블루페스큐,Blue Fescue,Festuca glauca
P822,그라스 Grass,모닝라이트,Maiden Grass,Miscanthus sinensis Morning Light
P823,그라스 Grass,팜파스그라스,Pampas Grass,Cortaderia selloana
P824,그라스 Grass,라임그라스,Blue Lyme Grass,Leymus arenarius
P825,그라스 Grass,사초,Japanese Sedge,Carex morrowii
P826,그라스 Grass,블루오트그라스,Blue Oat Grass,Helictotrichon sempervirens
P827,그라스 Grass,스위치그라스,Switch Grass,Panicum virgatum
P828,그라스 Grass,갈대,Common Reed,Phragmites australis
P829,그라스 Grass,줄,Manchurian Wild Rice,Zizania latifolia
P830,그라스 Grass,털무늬억새,Zebra Grass,Miscanthus sinensis Zebrinus
P831,그라스 Grass,수크령 하멜른,Dwarf Fountain Grass,Pennisetum alopecuroides Hameln
P832,그라스 Grass,자주달개비,Purple Fountain Grass,Pennisetum setaceum Rubrum
P833,그라스 Grass,카렉스 에버골드,Evergold Sedge,Carex oshimensis Evergold
P834,그라스 Grass,일본풍지초,Japanese Forest Grass,Hakonechloa macra
P835,그라스 Grass,블루페스큐 엘리야,Elijah Blue Fescue,Festuca glauca Elijah Blue
P836,그라스 Grass,모닝라이트 억새,Morning Light Grass,Miscanthus sinensis Gracillimus
P837,그라스 Grass,리본그라스,Ribbon Grass,Phalaris arundinacea
P838,그라스 Grass,피버그라스,Feather Reed Grass,Calamagrostis acutiflora
P839,그라스 Grass,멕시코깃털그라스,Mexican Feather Grass,Nassella tenuissima
P840,그라스 Grass,골풀,Common Rush,Juncus effusus
P841,그라스 Grass,나사골풀,Corkscrew Rush,Juncus effusus Spiralis
P842,그라스 Grass,실새풀,Korean Feather Reed,Calamagrostis arundinacea
P843,지피 Groundcover,맥문동,Big Blue Lilyturf,Liriope muscari
P844,지피 Groundcover,수호초,Japanese Pachysandra,Pachysandra terminalis
P845,지피 Groundcover,아주가,Bugleweed,Ajuga reptans
P846,지피 Groundcover,세덤 지피,Creeping Sedum,Sedum kamtschaticum
P847,지피 Groundcover,땅채송화,Golden Carpet,Sedum oryzifolium
P848,지피 Groundcover,애기말발도리,Slender Deutzia,Deutzia gracilis
P849,지피 Groundcover,백리향,Creeping Thyme,Thymus quinquecostatus
P850,지피 Groundcover,벌노랑이,Bird's Foot Trefoil,Lotus corniculatus
P851,지피 Groundcover,잔디,Korean Lawngrass,Zoysia japonica
P852,지피 Groundcover,클로버,White Clover,Trifolium repens
P853,지피 Groundcover,버들잎해란초,Creeping Speedwell,Veronica prostrata
P854,지피 Groundcover,사철채송화,Rose Moss,Portulaca grandiflora
P855,지피 Groundcover,송엽국,Ice Plant Lampranthus,Lampranthus spectabilis
P856,지피 Groundcover,꽃마리,Trigonotis,Trigonotis peduncularis
P857,지피 Groundcover,벌깨덩굴,Meehania,Meehania urticifolia
P858,지피 Groundcover,금창초,Bugle Korean,Ajuga decumbens
P859,지피 Groundcover,미나리아재비,Buttercup,Ranunculus japonicus
P860,지피 Groundcover,양지꽃,Cinquefoil,Potentilla fragarioides
P861,지피 Groundcover,딸기 관상,Mock Strawberry,Duchesnea indica
P862,지피 Groundcover,붉은토끼풀,Red Clover,Trifolium pratense
P863,지피 Groundcover,애기나리,Fairy Bells,Disporum smilacinum
P864,지피 Groundcover,맥문동 청화,Creeping Lilyturf,Liriope spicata
P865,지피 Groundcover,소엽맥문동,Dwarf Mondo Grass,Ophiopogon japonicus
P866,지피 Groundcover,수레바퀴 마조람,Creeping Marjoram,Origanum vulgare Compactum
P867,자생초 Native,할미꽃,Korean Pasque Flower,Pulsatilla koreana
P868,자생초 Native,금낭화,Bleeding Heart,Lamprocapnos spectabilis
P869,자생초 Native,매발톱꽃,Columbine,Aquilegia buergeriana
P870,자생초 Native,얼레지,Dogtooth Violet,Erythronium japonicum
P871,자생초 Native,노루귀,Hepatica,Hepatica asiatica
P872,자생초 Native,복수초,Amur Adonis,Adonis amurensis
P873,자생초 Native,동의나물,Marsh Marigold,Caltha palustris
P874,자생초 Native,앵초,Primrose Korean,Primula sieboldii
P875,자생초 Native,구절초,Korean Chrysanthemum,Dendranthema zawadskii
P876,자생초 Native,쑥부쟁이,Aster Korean,Aster yomena
P877,자생초 Native,벌개미취,Korean Starwort,Aster koraiensis
P878,자생초 Native,용담,Gentian,Gentiana scabra
P879,자생초 Native,물레나물,St Johns Wort,Hypericum ascyron
P880,자생초 Native,비비추,Hosta,Hosta longipes
P881,자생초 Native,옥잠화,Fragrant Plantain Lily,Hosta plantaginea
P882,자생초 Native,원추리,Daylily,Hemerocallis fulva
P883,자생초 Native,둥굴레,Solomon's Seal,Polygonatum odoratum
P884,자생초 Native,은방울꽃,Lily of the Valley,Convallaria keiskei
P885,자생초 Native,꿩의비름,Showy Stonecrop,Hylotelephium spectabile
P886,자생초 Native,돌나물,Sedum Korean,Sedum sarmentosum
P887,자생초 Native,바위취,Strawberry Saxifrage,Saxifraga stolonifera
P888,자생초 Native,민들레,Dandelion,Taraxacum platycarpum
P889,자생초 Native,제비꽃,Manchurian Violet,Viola mandshurica
P890,자생초 Native,패랭이꽃,Fringed Pink,Dianthus chinensis
P891,자생초 Native,술패랭이,Fringed Pink Long,Dianthus longicalyx
P892,자생초 Native,금꿩의다리,Meadow Rue,Thalictrum rochebrualatum
P893,자생초 Native,매미꽃,Korean Poppy,Coreanomecon hylomeconoides
P894,자생초 Native,피나물,Forest Poppy,Hylomecon vernalis
P895,자생초 Native,동자꽃,Lychnis,Lychnis cognata
P896,자생초 Native,마타리,Golden Lace,Patrinia scabiosifolia
P897,자생초 Native,꽃무릇,Red Spider Lily,Lycoris radiata
P898,자생초 Native,상사화,Magic Lily,Lycoris squamigera
P899,자생초 Native,금강초롱꽃,Korean Bellflower,Hanabusaya asiatica
P900,자생초 Native,초롱꽃,Spotted Bellflower,Campanula punctata
P901,자생초 Native,잔대,Japanese Lady Bell,Adenophora triphylla
P902,자생초 Native,더덕,Deodeok,Codonopsis lanceolata
P903,자생초 Native,도라지,Balloon Flower,Platycodon grandiflorus
P904,자생초 Native,금마타리,Golden Patrinia,Patrinia saniculifolia
P905,자생초 Native,쥐오줌풀,Valerian,Valeriana fauriei
P906,자생초 Native,꽃향유,Korean Mint Perilla,Elsholtzia splendens
P907,자생초 Native,배초향,Korean Mint,Agastache rugosa
P908,자생초 Native,층꽃나무,Blue Spirea,Caryopteris incana
P909,자생초 Native,벌등골나무,Boneset,Eupatorium japonicum
P910,자생초 Native,미역취,Goldenrod,Solidago virgaurea
P911,자생초 Native,참취,Aster Scaber,Aster scaber
P912,자생초 Native,곰취,Fischer Ligularia,Ligularia fischeri
P913,자생초 Native,곤달비,Ligularia Stenocephala,Ligularia stenocephala
P914,자생초 Native,수리취,Synurus,Synurus deltoides
P915,자생초 Native,톱풀,Yarrow,Achillea alpina
P916,자생초 Native,기린초,Kamtschatka Stonecrop,Phedimus kamtschaticus
P917,자생초 Native,바위솔,Rock Pine,Orostachys japonica
P918,자생초 Native,땅나리,Morning Star Lily,Lilium callosum
P919,자생초 Native,하늘나리,Sky Lily,Lilium concolor
P920,자생초 Native,참나리,Tiger Lily,Lilium lancifolium
P921,자생초 Native,말나리,Distinctive Lily,Lilium distichum
P922,자생초 Native,털중나리,Amabile Lily,Lilium amabile
P923,자생초 Native,얼레지 흰,White Dogtooth Violet,Erythronium japonicum Album
P924,자생초 Native,깽깽이풀,Twinleaf Korean,Jeffersonia dubia
P925,자생초 Native,피나물 노랑,Yellow Wood Poppy,Hylomecon vernalis Yellow
P926,자생초 Native,매발톱 하늘,Blue Columbine,Aquilegia flabellata
P927,자생초 Native,금붓꽃,Golden Iris,Iris minutoaurea
P928,자생초 Native,각시붓꽃,Rockery Iris,Iris rossii
P929,자생초 Native,타래붓꽃,Spiral Iris,Iris lactea
P930,자생초 Native,범부채,Blackberry Lily,Iris domestica
P931,자생초 Native,투구꽃,Monkshood,Aconitum jaluense
P932,자생초 Native,백리향 자생,Korean Thyme,Thymus quinquecostatus Wild
P933,자생초 Native,자란 흰,White Bletilla,Bletilla striata Alba
P934,자생초 Native,섬초롱꽃,Island Bellflower,Campanula takesimana
P935,양치 Fern,고비,Royal Fern,Osmunda japonica
P936,양치 Fern,관중,Male Fern,Dryopteris crassirhizoma
P937,양치 Fern,꿩고비,Cinnamon Fern,Osmundastrum cinnamomeum
P938,양치 Fern,청나래고사리,Ostrich Fern,Matteuccia struthiopteris
P939,양치 Fern,십자고사리,Holly Fern,Polystichum tripteron
P940,양치 Fern,일엽초,Bird Nest Fern Korean,Lepisorus thunbergianus
P941,양치 Fern,콩짜개덩굴,Green Penny Fern,Lemmaphyllum microphyllum
P942,양치 Fern,고사리삼,Grape Fern,Sceptridium ternatum
P943,양치 Fern,처녀고사리,Marsh Fern,Thelypteris palustris
P944,양치 Fern,봉의꼬리,Chinese Brake,Pteris multifida
P945,양치 Fern,돌담고사리,Wall Rue,Asplenium ruta-muraria
P946,양치 Fern,부싯깃고사리,Silverback Fern,Cheilanthes argentea
P947,수생 Aquatic,부레옥잠,Water Hyacinth,Eichhornia crassipes
P948,수생 Aquatic,물양귀비,Water Poppy,Hydrocleys nymphoides
P949,수생 Aquatic,창포,Sweet Flag,Acorus calamus
P950,수생 Aquatic,꽃창포,Japanese Water Iris,Iris ensata
P951,수생 Aquatic,노랑꽃창포,Yellow Flag Iris,Iris pseudacorus
P952,수생 Aquatic,물옥잠,Monochoria,Monochoria korsakowii
P953,수생 Aquatic,어리연꽃,Water Snowflake,Nymphoides indica
P954,수생 Aquatic,물배추,Water Lettuce,Pistia stratiotes
P955,수생 Aquatic,개구리밥,Duckweed,Spirodela polyrhiza
P956,수생 Aquatic,택사,Water Plantain,Alisma canaliculatum
P957,수생 Aquatic,물수세미,Water Milfoil,Myriophyllum verticillatum
P958,수생 Aquatic,고랭이,Bulrush,Schoenoplectus tabernaemontani
P959,수생 Aquatic,물미나리아재비,Water Buttercup,Ranunculus aquatilis
P960,수생 Aquatic,가래,Pondweed,Potamogeton distinctus
P961,수생 Aquatic,물질경이,Water Poppy Ottelia,Ottelia alismoides
P962,수생 Aquatic,물수국,Water Hydrangea,Hydrocharis dubia
P963,수생 Aquatic,물아카시아,Water Sensitive Plant,Neptunia oleracea
P964,수생 Aquatic,자라풀,Frogbit,Hydrocharis morsus-ranae
P965,수생 Aquatic,물봉선,Touch Me Not,Impatiens textori
P966,수생 Aquatic,매화마름,Water Crowfoot,Ranunculus kazusensis
P967,수생 Aquatic,순채,Water Shield,Brasenia schreberi
P968,수생 Aquatic,가시연꽃,Prickly Water Lily,Euryale ferox
P969,수생 Aquatic,왜개연꽃,Small Spatterdock,Nuphar pumila
P970,수생 Aquatic,네가래,Water Clover,Marsilea quadrifolia
P971,과실수 Fruit,레몬나무,Lemon Tree,Citrus limon
P972,과실수 Fruit,사과나무,Apple Tree,Malus domestica
P973,과실수 Fruit,배나무,Pear Tree,Pyrus pyrifolia
P974,과실수 Fruit,복숭아나무,Peach Tree,Prunus persica
P975,과실수 Fruit,매실나무,Japanese Apricot,Prunus mume
P976,과실수 Fruit,살구나무,Apricot,Prunus armeniaca
P977,과실수 Fruit,자두나무,Plum Tree,Prunus salicina
P978,과실수 Fruit,포도나무,Grape Vine,Vitis vinifera
P979,과실수 Fruit,무화과나무,Fig Tree,Ficus carica
P980,과실수 Fruit,석류나무,Pomegranate,Punica granatum
P981,과실수 Fruit,블루베리,Blueberry,Vaccinium corymbosum
P982,과실수 Fruit,앵두나무,Nanking Cherry,Prunus tomentosa
P983,과실수 Fruit,보리수나무,Autumn Olive,Elaeagnus umbellata
P984,과실수 Fruit,유자나무,Yuzu,Citrus junos
P985,과실수 Fruit,귤나무,Mandarin Orange,Citrus reticulata
P986,과실수 Fruit,금귤,Kumquat,Citrus japonica
P987,열대과실 Tropical,커피나무,Coffee Plant,Coffea arabica
P988,열대과실 Tropical,망고,Mango,Mangifera indica
P989,열대과실 Tropical,아보카도,Avocado,Persea americana
P990,열대과실 Tropical,구아바,Guava,Psidium guajava
P991,열대과실 Tropical,파파야,Papaya,Carica papaya
P992,열대과실 Tropical,패션프루트,Passion Fruit,Passiflora edulis
P993,열대과실 Tropical,바나나,Banana,Musa acuminata
P994,열대과실 Tropical,파인애플,Pineapple,Ananas comosus
P995,열대과실 Tropical,용과,Dragon Fruit,Hylocereus undatus
P996,열대과실 Tropical,리치,Lychee,Litchi chinensis
P997,열대과실 Tropical,람부탄,Rambutan,Nephelium lappaceum
P998,열대과실 Tropical,스타프루트,Starfruit,Averrhoa carambola
P999,열대과실 Tropical,올리브 열매,Olive Fruit,Olea europaea Fruit
P1000,열대과실 Tropical,카카오,Cacao,Theobroma cacao
P1001,열대과실 Tropical,망고스틴,Mangosteen,Garcinia mangostana
P1002,관엽 Foliage,필로덴드론 마이크로스틱텀,Silver Sword Philodendron,Philodendron hastatum
P1003,관엽 Foliage,필로덴드론 플로리다뷰티,Florida Beauty,Philodendron pedatum Florida
P1004,관엽 Foliage,아글라오네마 실버베이,Silver Bay,Aglaonema Silver Bay
P1005,관엽 Foliage,아글라오네마 마리아,Aglaonema Maria,Aglaonema Maria
P1006,관엽 Foliage,싱고니움 밀크컨페티,Milk Confetti,Syngonium Milk Confetti
P1007,관엽 Foliage,칼라데아 루피바르바,Furry Feather Calathea,Goeppertia rufibarba
P1008,관엽 Foliage,스트로만테 트리오스타,Stromanthe Triostar,Stromanthe sanguinea Triostar
P1009,관엽 Foliage,크테난테 오포엔스,Never Never Plant,Ctenanthe oppenheimiana
P1010,관엽 Foliage,페페로미아 프로스타타,String of Turtles,Peperomia prostrata
P1011,관엽 Foliage,페페로미아 페레스키폴리아,Happy Bean,Peperomia ferreyrae
P1012,관엽 Foliage,베고니아 아메리아나,Begonia Amelia,Begonia Escargot
P1013,관엽 Foliage,베고니아 브라질리엔시스,Begonia Beleaf,Begonia brevirimosa
P1014,관엽 Foliage,드라세나 레몬라임,Lemon Lime Dracaena,Dracaena deremensis Lemon Lime
P1015,관엽 Foliage,코르딜리네 레드스타,Red Star Cordyline,Cordyline australis Red Star
P1016,관엽 Foliage,피토니아 레드,Red Nerve Plant,Fittonia verschaffeltii
P1017,관엽 Foliage,트라데스칸티아 스파툴라타,Purple Spiderwort,Tradescantia pallida
P1018,관엽 Foliage,크산토소마 링고니,Lime Zinger,Xanthosoma Lime Zinger
P1019,관엽 Foliage,스킨답서스 엑조티카,Silver Satin,Scindapsus pictus Exotica
P1020,관엽 Foliage,에피프렘넘 세브,Cebu Blue,Epipremnum pinnatum Cebu Blue
P1021,관엽 Foliage,몬스테라 스탄들레아나,Monstera Peru,Monstera standleyana
P1022,관엽 Foliage,폴리시아스 발포어,Balfour Aralia,Polyscias scutellaria
P1023,관엽 Foliage,산세베리아 문샤인,Moonshine Snake Plant,Dracaena trifasciata Moonshine
P1024,관엽 Foliage,산세베리아 하니,Bird's Nest Snake Plant,Dracaena trifasciata Hahnii
P1025,관엽 Foliage,피쿠스 티네케,Ficus Tineke,Ficus elastica Tineke
P1026,관엽 Foliage,피쿠스 알리,Ficus Alii,Ficus binnendijkii Alii
P1027,관엽 Foliage,피쿠스 트라이앵글,Triangle Fig,Ficus triangularis
P1028,관엽 Foliage,피쿠스 펫돌,Petiolaris Fig,Ficus petiolaris
P1029,관엽 Foliage,아라우카리아,Norfolk Island Pine,Araucaria heterophylla
P1030,관엽 Foliage,디스키디아,Million Hearts,Dischidia ruscifolia
P1031,관엽 Foliage,솔레이롤리아,Baby Tears,Soleirolia soleirolii
P1032,관엽 Foliage,필레아 문밸리,Moon Valley Pilea,Pilea mollis
P1033,관엽 Foliage,필레아 아루미니아타,Aluminum Plant,Pilea cadierei
P1034,관엽 Foliage,무늬접란,Spider Plant,Chlorophytum comosum Variegatum
P1035,관엽 Foliage,클로로피텀 봉니,Bonnie Spider Plant,Chlorophytum comosum Bonnie
P1036,관엽 Foliage,옥살리스 트리앙굴라리스,Purple Shamrock,Oxalis triangularis
P1037,관엽 Foliage,자바후추,Java Pepper,Piper crocatum
P1038,관엽 Foliage,레드루브라,Fittonia Ruby,Fittonia Ruby Red
P1039,관엽 Foliage,자미오쿨카스 레이븐,Raven ZZ,Zamioculcas zamiifolia Raven
P1040,관엽 Foliage,무늬고무나무,Variegated Rubber Tree,Ficus elastica Ruby
P1041,꽃 Flowering,칼리브라코아,Million Bells,Calibrachoa hybrida
P1042,꽃 Flowering,뉴기니아임파첸스,New Guinea Impatiens,Impatiens hawkeri
P1043,꽃 Flowering,노랑코스모스,Yellow Cosmos,Cosmos sulphureus
P1044,꽃 Flowering,프리뮬러 말라코이데스,Fairy Primrose,Primula malacoides
P1045,꽃 Flowering,스위트피,Sweet Pea,Lathyrus odoratus
P1046,꽃 Flowering,꽃담배,Flowering Tobacco,Nicotiana alata
P1047,꽃 Flowering,가일라르디아,Blanket Flower,Gaillardia aristata
P1048,꽃 Flowering,코레옵시스,Tickseed,Coreopsis grandiflora
P1049,꽃 Flowering,샤스타데이지,Shasta Daisy,Leucanthemum superbum
P1050,꽃 Flowering,브라키코메,Swan River Daisy,Brachyscome iberidifolia
P1051,꽃 Flowering,블루살비아,Blue Salvia,Salvia farinacea
P1052,꽃 Flowering,멕시칸세이지,Mexican Bush Sage,Salvia leucantha
P1053,꽃 Flowering,니겔라,Love-in-a-Mist,Nigella damascena
P1054,꽃 Flowering,접시꽃,Hollyhock,Alcea rosea
P1055,꽃 Flowering,숙근안개,Perennial Baby's Breath,Gypsophila elegans
P1056,꽃 Flowering,촛불맨드라미,Plume Celosia,Celosia argentea plumosa
P1057,꽃 Flowering,색비름,Joseph's Coat,Amaranthus tricolor
P1058,꽃 Flowering,봉선화,Garden Balsam,Impatiens balsamina
P1059,꽃 Flowering,분꽃,Four O'Clock,Mirabilis jalapa
P1060,꽃 Flowering,꽃기생초,Plains Coreopsis,Coreopsis tinctoria
P1061,꽃 Flowering,스타티스,Statice,Limonium sinuatum
P1062,꽃 Flowering,맥문동꽃,Lilyturf Flower,Liriope muscari Flower
P1063,꽃 Flowering,꼬리풀,Speedwell,Veronica spicata
P1064,꽃 Flowering,숙근샐비어,Woodland Sage,Salvia nemorosa
P1065,꽃 Flowering,아가스타체,Anise Hyssop,Agastache foeniculum
P1066,꽃 Flowering,리시마키아,Yellow Loosestrife,Lysimachia punctata
P1067,꽃 Flowering,가우라,Whirling Butterflies,Oenothera lindheimeri
P1068,꽃 Flowering,낮달맞이꽃,Pink Evening Primrose,Oenothera speciosa
P1069,꽃 Flowering,루드베키아 골드스텀,Goldsturm,Rudbeckia fulgida Goldsturm
P1070,꽃 Flowering,제비붓꽃,Rabbit-ear Iris,Iris laevigata
P1071,꽃 Flowering,수염패랭이,Sweet William,Dianthus barbatus
P1072,꽃 Flowering,비누풀,Soapwort,Saponaria officinalis
P1073,꽃 Flowering,루나리아,Honesty,Lunaria annua
P1074,꽃 Flowering,꽃토끼풀,Crimson Clover,Trifolium incarnatum
P1075,꽃 Flowering,꽃잔디무리,Creeping Phlox,Phlox stolonifera
P1076,꽃 Flowering,펜스테몬,Beardtongue,Penstemon barbatus
P1077,꽃 Flowering,기생초,Garden Tickseed,Coreopsis verticillata
P1078,꽃 Flowering,해국,Seashore Aster,Aster spathulifolius
P1079,꽃 Flowering,브로왈리아,Bush Violet,Browallia speciosa
P1080,꽃 Flowering,꽃기린무늬,Thai Crown of Thorns,Euphorbia milii Thai
P1081,꽃 Flowering,꽃베고니아 드래곤윙,Dragon Wing Begonia,Begonia Dragon Wing
P1082,꽃 Flowering,앙겔로니아,Summer Snapdragon,Angelonia angustifolia
P1083,꽃 Flowering,수퍼벨스,Superbells,Calibrachoa Superbells
P1084,꽃 Flowering,꽃토끼,Bunny Ears Cyclamen,Cyclamen persicum Victoria
P1085,꽃 Flowering,꽃부추,Chinese Chive Flower,Allium tuberosum
P1086,다육 Succulent,에케베리아 라울,Echeveria Raul,Echeveria Raul
P1087,다육 Succulent,에케베리아 로라,Echeveria Lola,Echeveria Lola
P1088,다육 Succulent,에케베리아 데렌베르기,Painted Lady,Echeveria derenbergii
P1089,다육 Succulent,에케베리아 셋창,Setosa Deminuta,Echeveria setosa
P1090,다육 Succulent,그랍토베리아,Graptoveria,Graptoveria Fred Ives
P1091,다육 Succulent,세덤 누스바우머,Coppertone Stonecrop,Sedum nussbaumerianum
P1092,다육 Succulent,세덤 다시필룸,Corsican Stonecrop,Sedum dasyphyllum
P1093,다육 Succulent,크라술라 후회,Propeller Plant,Crassula falcata
P1094,다육 Succulent,칼랑코에 톱시터비,Paddle Plant,Kalanchoe luciae
P1095,다육 Succulent,칼랑코에 밀레포도,Millot Kalanchoe,Kalanchoe millotii
P1096,다육 Succulent,하월시아 옵투사,Cushion Aloe,Haworthia cooperi
P1097,다육 Succulent,하월시아 레투사,Star Window Plant,Haworthia retusa
